mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_model__dropout_rate,param_model__learning_rate,param_model__num_filters,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,model
0.908622662226359,0.2753563548856344,0.050331672032674156,0.00273329754528373,32,10,0.3,0.001,32,adam,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__num_filters': 32, 'optimizer': 'adam'}",0.0,0.0,0.0,0.0,0.0,25,cnn
0.7151557604471842,0.011498963580414058,0.05541578928629557,0.009251921269229484,32,10,0.3,0.001,32,rmsprop,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__num_filters': 32, 'optimizer': 'rmsprop'}",0.0,0.0,0.0,0.0,0.0,25,cnn
0.8092362880706787,0.12332675705404127,0.05271720886230469,0.005138429618700013,32,10,0.3,0.001,64,adam,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__num_filters': 64, 'optimizer': 'adam'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.7857309182484945,0.01595336889809172,0.05564467112223307,0.0027325024362859184,32,10,0.3,0.001,64,rmsprop,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__num_filters': 64, 'optimizer': 'rmsprop'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.7034189701080322,0.008587657075189629,0.049480438232421875,0.0026883899044329185,32,10,0.3,0.0005,32,adam,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0005, 'model__num_filters': 32, 'optimizer': 'adam'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.683687686920166,0.006859446882497365,0.048832972844441734,0.0008124243913711743,32,10,0.3,0.0005,32,rmsprop,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0005, 'model__num_filters': 32, 'optimizer': 'rmsprop'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.721811850865682,0.004816586038460965,0.04941185315450033,0.0006725649462447189,32,10,0.3,0.0005,64,adam,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0005, 'model__num_filters': 64, 'optimizer': 'adam'}",0.14285714285714285,0.14285714285714285,0.0,0.09523809523809523,0.06734350297014738,1,cnn
0.9985382556915283,0.37495061513752764,0.05042576789855957,0.0006867177194577054,32,10,0.3,0.0005,64,rmsprop,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0005, 'model__num_filters': 64, 'optimizer': 'rmsprop'}",0.14285714285714285,0.14285714285714285,0.0,0.09523809523809523,0.06734350297014738,1,cnn
0.692829449971517,0.007642242564183087,0.051468849182128906,0.003020569312864069,32,10,0.5,0.001,32,adam,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.001, 'model__num_filters': 32, 'optimizer': 'adam'}",0.0,0.0,0.0,0.0,0.0,25,cnn
0.6886607805887858,0.002365094682262938,0.048658529917399086,0.00048706258114275346,32,10,0.5,0.001,32,rmsprop,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.001, 'model__num_filters': 32, 'optimizer': 'rmsprop'}",0.0,0.0,0.0,0.0,0.0,25,cnn
0.728841225306193,0.009910000296225175,0.052089691162109375,0.0028010463670603003,32,10,0.5,0.001,64,adam,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.001, 'model__num_filters': 64, 'optimizer': 'adam'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.7517112890879313,0.03191886331911266,0.0492707093556722,8.86612273482995e-06,32,10,0.5,0.001,64,rmsprop,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.001, 'model__num_filters': 64, 'optimizer': 'rmsprop'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.6835470199584961,0.003088958036183933,0.048920631408691406,0.0008743684276879849,32,10,0.5,0.0005,32,adam,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.0005, 'model__num_filters': 32, 'optimizer': 'adam'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.6866610050201416,0.0019599641935167163,0.04843759536743164,0.0003747579587178394,32,10,0.5,0.0005,32,rmsprop,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.0005, 'model__num_filters': 32, 'optimizer': 'rmsprop'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.7361999352773031,0.02866870988446646,0.049014647801717125,0.0003967828310970413,32,10,0.5,0.0005,64,adam,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.0005, 'model__num_filters': 64, 'optimizer': 'adam'}",0.14285714285714285,0.0,0.0,0.047619047619047616,0.06734350297014738,5,cnn
1.0139230887095134,0.41672464585328856,0.04971830050150553,0.0015952699113036353,32,10,0.5,0.0005,64,rmsprop,"{'batch_size': 32, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.0005, 'model__num_filters': 64, 'optimizer': 'rmsprop'}",0.14285714285714285,0.0,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.6970469951629639,0.007929353580408045,0.04890259106953939,0.0003042577513710671,64,10,0.3,0.001,32,adam,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__num_filters': 32, 'optimizer': 'adam'}",0.0,0.0,0.0,0.0,0.0,25,cnn
0.6990107695261637,0.018686765323541035,0.05075422922770182,0.0025831972425787606,64,10,0.3,0.001,32,rmsprop,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__num_filters': 32, 'optimizer': 'rmsprop'}",0.0,0.0,0.0,0.0,0.0,25,cnn
0.725243091583252,0.004519864480731113,0.04949816068013509,0.0007158024164566071,64,10,0.3,0.001,64,adam,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__num_filters': 64, 'optimizer': 'adam'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.7168227831522623,0.0038287706171041495,0.04893819491068522,0.0008414868903812597,64,10,0.3,0.001,64,rmsprop,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__num_filters': 64, 'optimizer': 'rmsprop'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.6812686125437418,0.0039512159655357695,0.04876955350240072,0.00025023278984214386,64,10,0.3,0.0005,32,adam,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0005, 'model__num_filters': 32, 'optimizer': 'adam'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.7061132589975992,0.03425037788839527,0.04831735293070475,0.0006268854738389932,64,10,0.3,0.0005,32,rmsprop,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0005, 'model__num_filters': 32, 'optimizer': 'rmsprop'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.7254663308461508,0.005224495761453021,0.04916262626647949,0.00020452673572544578,64,10,0.3,0.0005,64,adam,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0005, 'model__num_filters': 64, 'optimizer': 'adam'}",0.14285714285714285,0.14285714285714285,0.0,0.09523809523809523,0.06734350297014738,1,cnn
0.7257033189137777,0.0031217836118992296,0.04919664065043131,0.00046594320208892607,64,10,0.3,0.0005,64,rmsprop,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0005, 'model__num_filters': 64, 'optimizer': 'rmsprop'}",0.14285714285714285,0.14285714285714285,0.0,0.09523809523809523,0.06734350297014738,1,cnn
0.7093120416005453,0.020055465511816098,0.049635092417399086,0.001586947880293154,64,10,0.5,0.001,32,adam,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.001, 'model__num_filters': 32, 'optimizer': 'adam'}",0.0,0.0,0.0,0.0,0.0,25,cnn
1.1274442672729492,0.5824721327130279,0.051762660344441734,0.0015782881753676717,64,10,0.5,0.001,32,rmsprop,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.001, 'model__num_filters': 32, 'optimizer': 'rmsprop'}",0.0,0.0,0.0,0.0,0.0,25,cnn
0.7418287595113119,0.0011504837307883856,0.04999113082885742,0.0006035611732757173,64,10,0.5,0.001,64,adam,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.001, 'model__num_filters': 64, 'optimizer': 'adam'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.8428535461425781,0.07911577544407976,0.050302743911743164,0.00042321158086158,64,10,0.5,0.001,64,rmsprop,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.001, 'model__num_filters': 64, 'optimizer': 'rmsprop'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.6963793436686198,0.005259477124172856,0.048354705174764,8.959175370056492e-05,64,10,0.5,0.0005,32,adam,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.0005, 'model__num_filters': 32, 'optimizer': 'adam'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.7007797559102377,0.011610746776687659,0.04853367805480957,0.0004528311800211969,64,10,0.5,0.0005,32,rmsprop,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.0005, 'model__num_filters': 32, 'optimizer': 'rmsprop'}",0.0,0.14285714285714285,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.7241538365681967,0.004339154754485462,0.04902378718058268,0.00038394395457970953,64,10,0.5,0.0005,64,adam,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.0005, 'model__num_filters': 64, 'optimizer': 'adam'}",0.14285714285714285,0.0,0.0,0.047619047619047616,0.06734350297014738,5,cnn
0.7222975889841715,0.00539015036425485,0.04882502555847168,0.0006316770859236733,64,10,0.5,0.0005,64,rmsprop,"{'batch_size': 64, 'epochs': 10, 'model__dropout_rate': 0.5, 'model__learning_rate': 0.0005, 'model__num_filters': 64, 'optimizer': 'rmsprop'}",0.14285714285714285,0.0,0.0,0.047619047619047616,0.06734350297014738,5,cnn
